,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
167,as2core2,default,2.1.2.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
168,as2core2,default,2.1.3.1/32,2.23.21.3,GigabitEthernet3/0,ospf,2,110,
169,as2core2,default,2.1.3.2/32,2.23.22.3,GigabitEthernet2/0,ospf,2,110,
170,as2core2,default,2.12.11.0/24,2.12.12.1,GigabitEthernet1/0,ospf,2,110,
171,as2core2,default,2.12.12.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
172,as2core2,default,2.12.12.2/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
173,as2core2,default,2.12.21.0/24,2.12.22.1,GigabitEthernet0/0,ospf,2,110,
174,as2core2,default,2.12.22.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
175,as2core2,default,2.12.22.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
176,as2core2,default,2.23.11.0/24,2.23.21.3,GigabitEthernet3/0,ospf,2,110,
177,as2core2,default,2.23.12.0/24,2.23.22.3,GigabitEthernet2/0,ospf,2,110,
178,as2core2,default,2.23.21.0/24,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
179,as2core2,default,2.23.21.2/32,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
180,as2core2,default,2.23.22.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
181,as2core2,default,2.23.22.2/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
182,as2core2,default,2.34.101.0/24,2.23.21.3,GigabitEthernet3/0,ospfE2,20,110,
183,as2core2,default,2.34.201.0/24,2.23.22.3,GigabitEthernet2/0,ospfE2,20,110,
184,as2core2,default,2.128.0.0/16,2.1.1.1,dynamic,ibgp,0,200,
185,as2core2,default,2.128.0.0/16,2.1.1.2,dynamic,ibgp,0,200,
186,as2core2,default,2.128.0.0/24,2.34.101.4,dynamic,ibgp,50,200,
187,as2core2,default,2.128.0.0/24,2.34.201.4,dynamic,ibgp,50,200,
188,as2core2,default,2.128.1.0/24,2.34.101.4,dynamic,ibgp,50,200,
189,as2core2,default,2.128.1.0/24,2.34.201.4,dynamic,ibgp,50,200,
190,as2core2,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
191,as2core2,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
192,as2core2,default,10.12.11.0/24,2.12.12.1,GigabitEthernet1/0,ospfE2,20,110,
193,as2core2,default,10.23.21.0/24,2.12.22.1,GigabitEthernet0/0,ospfE2,20,110,
194,as2dept1,default,1.0.1.0/24,2.34.101.3,dynamic,bgp,50,20,
195,as2dept1,default,1.0.1.0/24,2.34.201.3,dynamic,bgp,50,20,
196,as2dept1,default,1.0.2.0/24,2.34.101.3,dynamic,bgp,50,20,
197,as2dept1,default,1.0.2.0/24,2.34.201.3,dynamic,bgp,50,20,
198,as2dept1,default,2.1.1.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
199,as2dept1,default,2.34.101.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
200,as2dept1,default,2.34.101.4/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
201,as2dept1,default,2.34.201.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
202,as2dept1,default,2.34.201.4/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
203,as2dept1,default,2.128.0.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
204,as2dept1,default,2.128.0.1/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
205,as2dept1,default,2.128.1.0/24,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
206,as2dept1,default,2.128.1.1/32,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
207,as2dept1,default,3.0.1.0/24,2.34.101.3,dynamic,bgp,50,20,
208,as2dept1,default,3.0.1.0/24,2.34.201.3,dynamic,bgp,50,20,
209,as2dept1,default,3.0.2.0/24,2.34.101.3,dynamic,bgp,50,20,
210,as2dept1,default,3.0.2.0/24,2.34.201.3,dynamic,bgp,50,20,
211,as2dist1,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
212,as2dist1,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
213,as2dist1,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
214,as2dist1,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
215,as2dist1,default,2.1.1.1/32,2.23.11.2,GigabitEthernet0/0,ospf,3,110,
216,as2dist1,default,2.1.1.1/32,2.23.21.2,GigabitEthernet1/0,ospf,3,110,
217,as2dist1,default,2.1.1.2/32,2.23.11.2,GigabitEthernet0/0,ospf,3,110,
218,as2dist1,default,2.1.1.2/32,2.23.21.2,GigabitEthernet1/0,ospf,3,110,
219,as2dist1,default,2.1.2.1/32,2.23.11.2,GigabitEthernet0/0,ospf,2,110,
220,as2dist1,default,2.1.2.2/32,2.23.21.2,GigabitEthernet1/0,ospf,2,110,
221,as2dist1,default,2.1.3.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
222,as2dist1,default,2.1.3.2/32,2.23.11.2,GigabitEthernet0/0,ospf,3,110,
223,as2dist1,default,2.1.3.2/32,2.23.21.2,GigabitEthernet1/0,ospf,3,110,
224,as2dist1,default,2.12.11.0/24,2.23.11.2,GigabitEthernet0/0,ospf,2,110,
225,as2dist1,default,2.12.12.0/24,2.23.21.2,GigabitEthernet1/0,ospf,2,110,
226,as2dist1,default,2.12.21.0/24,2.23.11.2,GigabitEthernet0/0,ospf,2,110,
227,as2dist1,default,2.12.22.0/24,2.23.21.2,GigabitEthernet1/0,ospf,2,110,
228,as2dist1,default,2.23.11.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
229,as2dist1,default,2.23.11.3/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
230,as2dist1,default,2.23.12.0/24,2.23.11.2,GigabitEthernet0/0,ospf,2,110,
231,as2dist1,default,2.23.21.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
232,as2dist1,default,2.23.21.3/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
233,as2dist1,default,2.23.22.0/24,2.23.21.2,GigabitEthernet1/0,ospf,2,110,
234,as2dist1,default,2.34.101.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
235,as2dist1,default,2.34.101.3/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
236,as2dist1,default,2.34.201.0/24,2.23.11.2,GigabitEthernet0/0,ospfE2,20,110,
237,as2dist1,default,2.34.201.0/24,2.23.21.2,GigabitEthernet1/0,ospfE2,20,110,
238,as2dist1,default,2.128.0.0/16,2.1.1.1,dynamic,ibgp,0,200,
239,as2dist1,default,2.128.0.0/16,2.1.1.1,dynamic,ibgp,0,200,
240,as2dist1,default,2.128.0.0/16,2.1.1.2,dynamic,ibgp,0,200,
241,as2dist1,default,2.128.0.0/16,2.1.1.2,dynamic,ibgp,0,200,
242,as2dist1,default,2.128.0.0/24,2.34.101.4,dynamic,bgp,50,20,
243,as2dist1,default,2.128.1.0/24,2.34.101.4,dynamic,bgp,50,20,
244,as2dist1,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
245,as2dist1,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
246,as2dist1,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
247,as2dist1,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
248,as2dist1,default,10.12.11.0/24,2.23.11.2,GigabitEthernet0/0,ospfE2,20,110,
249,as2dist1,default,10.12.11.0/24,2.23.21.2,GigabitEthernet1/0,ospfE2,20,110,
250,as2dist1,default,10.23.21.0/24,2.23.11.2,GigabitEthernet0/0,ospfE2,20,110,
251,as2dist1,default,10.23.21.0/24,2.23.21.2,GigabitEthernet1/0,ospfE2,20,110,
252,as2dist2,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
253,as2dist2,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
254,as2dist2,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
255,as2dist2,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
256,as2dist2,default,2.1.1.1/32,2.23.12.2,GigabitEthernet1/0,ospf,3,110,
257,as2dist2,default,2.1.1.1/32,2.23.22.2,GigabitEthernet0/0,ospf,3,110,
258,as2dist2,default,2.1.1.2/32,2.23.12.2,GigabitEthernet1/0,ospf,3,110,
259,as2dist2,default,2.1.1.2/32,2.23.22.2,GigabitEthernet0/0,ospf,3,110,
260,as2dist2,default,2.1.2.1/32,2.23.12.2,GigabitEthernet1/0,ospf,2,110,
261,as2dist2,default,2.1.2.2/32,2.23.22.2,GigabitEthernet0/0,ospf,2,110,
262,as2dist2,default,2.1.3.1/32,2.23.12.2,GigabitEthernet1/0,ospf,3,110,
263,as2dist2,default,2.1.3.1/32,2.23.22.2,GigabitEthernet0/0,ospf,3,110,
264,as2dist2,default,2.1.3.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
265,as2dist2,default,2.12.11.0/24,2.23.12.2,GigabitEthernet1/0,ospf,2,110,
266,as2dist2,default,2.12.12.0/24,2.23.22.2,GigabitEthernet0/0,ospf,2,110,
267,as2dist2,default,2.12.21.0/24,2.23.12.2,GigabitEthernet1/0,ospf,2,110,
268,as2dist2,default,2.12.22.0/24,2.23.22.2,GigabitEthernet0/0,ospf,2,110,
269,as2dist2,default,2.23.11.0/24,2.23.12.2,GigabitEthernet1/0,ospf,2,110,
270,as2dist2,default,2.23.12.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
271,as2dist2,default,2.23.12.3/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
272,as2dist2,default,2.23.21.0/24,2.23.22.2,GigabitEthernet0/0,ospf,2,110,
273,as2dist2,default,2.23.22.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
274,as2dist2,default,2.23.22.3/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
275,as2dist2,default,2.34.101.0/24,2.23.12.2,GigabitEthernet1/0,ospfE2,20,110,
276,as2dist2,default,2.34.101.0/24,2.23.22.2,GigabitEthernet0/0,ospfE2,20,110,
277,as2dist2,default,2.34.201.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
278,as2dist2,default,2.34.201.3/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
279,as2dist2,default,2.128.0.0/16,2.1.1.1,dynamic,ibgp,0,200,
280,as2dist2,default,2.128.0.0/16,2.1.1.1,dynamic,ibgp,0,200,
281,as2dist2,default,2.128.0.0/16,2.1.1.2,dynamic,ibgp,0,200,
282,as2dist2,default,2.128.0.0/16,2.1.1.2,dynamic,ibgp,0,200,
283,as2dist2,default,2.128.0.0/24,2.34.201.4,dynamic,bgp,50,20,
284,as2dist2,default,2.128.1.0/24,2.34.201.4,dynamic,bgp,50,20,
285,as2dist2,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
286,as2dist2,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
287,as2dist2,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
288,as2dist2,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
289,as2dist2,default,10.12.11.0/24,2.23.12.2,GigabitEthernet1/0,ospfE2,20,110,
290,as2dist2,default,10.12.11.0/24,2.23.22.2,GigabitEthernet0/0,ospfE2,20,110,
291,as2dist2,default,10.23.21.0/24,2.23.12.2,GigabitEthernet1/0,ospfE2,20,110,
292,as2dist2,default,10.23.21.0/24,2.23.22.2,GigabitEthernet0/0,ospfE2,20,110,
293,as3border1,default,1.0.1.0/24,10.13.22.1,dynamic,ibgp,50,200,
294,as3border1,default,1.0.2.0/24,10.13.22.1,dynamic,ibgp,50,200,
295,as3border1,default,2.128.0.0/16,10.23.21.2,dynamic,bgp,50,20,
296,as3border1,default,3.0.1.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
297,as3border1,default,3.0.1.1/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
298,as3border1,default,3.0.2.0/24,3.0.1.2,GigabitEthernet0/0,ospf,2,110,
299,as3border1,default,3.1.1.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
300,as3border1,default,3.2.2.2/32,3.0.1.2,GigabitEthernet0/0,ospf,3,110,
301,as3border1,default,3.10.1.1/32,3.0.1.2,GigabitEthernet0/0,ospf,2,110,
302,as3border1,default,10.13.22.0/24,3.0.1.2,GigabitEthernet0/0,ospfE2,20,110,
303,as3border1,default,10.23.21.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
304,as3border1,default,10.23.21.3/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
305,as3border2,default,1.0.1.0/24,10.13.22.1,dynamic,bgp,50,20,
306,as3border2,default,1.0.2.0/24,10.13.22.1,dynamic,bgp,50,20,
307,as3border2,default,2.128.0.0/16,10.23.21.2,dynamic,ibgp,50,200,
308,as3border2,default,3.0.1.0/24,3.0.2.2,GigabitEthernet1/0,ospf,2,110,
309,as3border2,default,3.0.2.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
310,as3border2,default,3.0.2.1/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
311,as3border2,default,3.1.1.1/32,3.0.2.2,GigabitEthernet1/0,ospf,3,110,
312,as3border2,default,3.2.2.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
313,as3border2,default,3.10.1.1/32,3.0.2.2,GigabitEthernet1/0,ospf,2,110,
314,as3border2,default,10.13.22.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
315,as3border2,default,10.13.22.3/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
316,as3border2,default,10.23.21.0/24,3.0.2.2,GigabitEthernet1/0,ospfE2,20,110,
317,as3core1,default,1.0.1.0/24,10.13.22.1,dynamic,ibgp,50,200,
318,as3core1,default,1.0.2.0/24,10.13.22.1,dynamic,ibgp,50,200,
319,as3core1,default,2.128.0.0/16,10.23.21.2,dynamic,ibgp,50,200,
320,as3core1,default,3.0.1.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
321,as3core1,default,3.0.1.2/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
322,as3core1,default,3.0.2.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
323,as3core1,default,3.0.2.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
324,as3core1,default,3.1.1.1/32,3.0.1.1,GigabitEthernet1/0,ospf,2,110,
325,as3core1,default,3.2.2.2/32,3.0.2.1,GigabitEthernet0/0,ospf,2,110,
326,as3core1,default,3.10.1.1/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
327,as3core1,default,10.13.22.0/24,3.0.2.1,GigabitEthernet0/0,ospfE2,20,110,
328,as3core1,default,10.23.21.0/24,3.0.1.1,GigabitEthernet1/0,ospfE2,20,110,
329,as3core1,default,90.90.90.0/24,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
330,as3core1,default,90.90.90.0/24,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
331,as3core1,default,90.90.90.1/32,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
332,as3core1,default,90.90.90.2/32,AUTO/NONE(-1l),GigabitEthernet3/0,local,0,0,
333,host1,default,0.0.0.0/0,2.128.0.1,eth0,static,0,1,
334,host1,default,2.128.0.0/24,AUTO/NONE(-1l),eth0,connected,0,0,
335,host1,default,2.128.0.101/32,AUTO/NONE(-1l),eth0,local,0,0,
336,host2,default,0.0.0.0/0,2.128.1.1,eth0,static,0,1,
337,host2,default,2.128.1.0/24,AUTO/NONE(-1l),eth0,connected,0,0,
338,host2,default,2.128.1.101/32,AUTO/NONE(-1l),eth0,local,0,0,
